Buy_CountI,Buy_CountN,Buy_I_Volume,Buy_N_Volume,Sell_CountI,Sell_CountN,Sell_I_Volume,Sell_N_Volume,bvol,cs,cs_id,eps,id,isin,l18,l30,mv,pc,pcc,pcp,pd1,pd2,pd3,pd4,pd5,pe,pf,pl,plc,plp,pmax,pmin,po1,po2,po3,po4,po5,py,qd1,qd2,qd3,qd4,qd5,qo1,qo2,qo3,qo4,qo5,time,tmax,tmin,tno,tval,tvol,z,zd1,zd2,zd3,zd4,zd5,zo1,zo2,zo3,zo4,zo5
349,44,40075785,7192120,63,4,661855,46606050,1,فلزات اساسی,27,1926,59266699437480384,IRO3ARFZ0001,ارفع,شرکت آهن و فولاد ارفع,454440000000000,10820,310,2.95,10820,10710,10510,10400,10390,5.6,10820,10820,310,2.95,10820,10820,0,0,0,0,0,10510,133286780,15000,203133,5000,10000,0,0,0,0,0,12:29:41,10820,10200,1039,511438732100,47267905,42000000000,1474,2,10,1,1,0,0,0,0,0
306,5,63251726,17561000,189,2,77212726,3600000,1,حمل و نقل، انبارداری و ارتباطات,60,149,35424116338766901,IRO1HFRS0001,حفارس,حمل و نقل بین المللی خلیج فارس,152464897080000,7720,220,2.93,7720,7710,7680,7670,7660,51.8,7720,7720,220,2.93,7720,7530,0,0,0,0,0,7500,585906,30000,20766,500000,2306,0,0,0,0,0,12:27:03,7720,7280,1032,623495132180,80812726,19749339000,18,1,3,2,3,0,0,0,0,0
355,10,19968858,6067789,172,5,2828844,23207803,1,صندوق سرمایه‌گذاری قابل معامله,68,,64942549055019553,IRT1SARV0001,سرو,صندوق س سروسودمند مدبران-سهام,105897500000000,42359,1215,2.95,42378,42377,42372,42370,42360,,41920,42378,1234,3,42378,41920,42620,0,0,0,0,41144,613173,1177,236,102364,1000,100000,0,0,0,0,12:29:38,42378,39910,1028,1102881128898,26036647,2500000000,25,1,1,7,1,1,0,0,0,0
183,4,24727226,73509164,120,9,46707374,51529016,1,سرمایه‌گذاری‌ها,56,492,31987503418964901,IRO3PAIP0001,آریان,سرمایه گذاری پارس آریان,973500000000000,6490,130,2.04,6490,6480,6470,6460,6420,13.2,6550,6550,190,2.99,6550,6180,6610,6660,6670,6810,0,6360,30000,3501,30050,21424,100000,1500,3324,10000,55000,0,12:29:59,6550,6170,1013,637435673890,98236390,150000000000,1,2,3,2,1,1,2,2,2,0
270,4,17448782,33584982,489,5,31349239,19684525,1,صندوق سرمایه‌گذاری قابل معامله,68,,23498719713662118,IRT3ONXF0001,اونیکس,ص.س.درآمد ثابت کیمیا-د,294408000000000,24534,34,0.14,24534,24533,24532,24531,24530,,24534,24535,35,0.14,24535,24534,24535,24536,24537,24538,24539,24500,228010782,1060322,1000000,1000000,1000500,58653347,1001500,1000000,1000000,1000000,13:03:00,25235,23765,1011,1469361204487,59889732,12000000000,15,3,1,1,2,4,4,1,1,1
110,6,52841253,69079758,116,10,28458257,93462754,1,بانک‌ها و موسسات اعتباری,57,584,45050389997905274,IRO1VSIN0001,وسینا,بانک سینا,260968672220000,3340,90,2.77,3340,3320,3310,3250,3200,5.7,3340,3340,90,2.77,3340,3320,0,0,0,0,0,3250,89786708,20000,14500,50000,1200000,0,0,0,0,0,12:29:29,3340,3160,1008,407201066740,121921011,78134333000,307,2,2,1,4,0,0,0,0,0
130,0,247982557,0,378,5,35758942,212223615,1,محصولات شیمیایی,44,710,69143674941561637,IRO1IPTR0001,پترول,گ.س.وت.ص.پتروشیمی خلیج فارس,233500000000000,2335,68,3,2335,2333,2322,2316,2310,3.3,2335,2335,68,3,2335,2335,2363,2365,2388,2390,2391,2267,234098078,70000,2030000,100000,207000,10000,245000,2160,6750,5000,12:26:04,2335,2199,1002,579039270595,247982557,100000000000,494,2,3,1,3,1,1,1,1,1
296,6,4363555,3073203,171,6,2516125,4920633,1,محصولات شیمیایی,44,4322,16959429956899455,IRO1AMLH0001,شاملا,معدنی‌ املاح‌  ایران,202600000000000,40520,1010,2.56,40690,40680,40500,40400,40350,9.4,40400,40690,1180,2.99,40690,39520,41460,41480,0,0,0,39510,913352,13042,1250,600,581,1000,2100,0,0,0,12:29:57,40690,38330,1000,301330942050,7436758,5000000000,57,2,2,1,2,1,3,0,0,0
102,3,26681350,18000000,591,5,7930026,36751324,1,سرمایه‌گذاری‌ها,56,564,20453559648564964,IRO3MHRI0001,مهر,سرمایه گذاری مهر,19680000000000,3280,90,2.82,3280,3260,3250,3240,3230,5.8,3250,3280,90,2.82,3280,3220,0,0,0,0,0,3190,54534390,4178,40520,593995,3011600,0,0,0,0,0,12:29:00,3280,3100,991,146505967930,44681350,6000000000,194,1,3,3,12,0,0,0,0,0
248,1,18097735,200000,376,6,14706985,3590750,1,انبوه‌سازی، املاک و مستغلات,70,477,63481599728522324,IRO1SAHD0001,ثشاهد,سرمایه‌ گذاری‌ شاهد,72151025640000,11470,330,2.96,11470,11460,11450,11400,11340,24,11470,11470,330,2.96,11470,11450,11790,11800,12090,0,0,11140,3305280,311033,257051,500,5000,4053,1,2060,0,0,12:29:56,11470,10810,983,209859239400,18297735,6290412000,145,5,13,1,1,2,1,2,0,0
322,5,12575167,7317929,226,5,11354391,8538705,1,فلزات اساسی,27,2578,12874072841236826,IRO1FSAZ0001,فسازان,غلتک سازان سپاهان,91910000000000,13130,380,2.98,13130,13120,13110,13100,13090,5.1,13130,13130,380,2.98,13130,13020,0,0,0,0,0,12750,13040356,27797,50900,50189,2500,0,0,0,0,0,12:28:08,13130,12370,969,261146444130,19893096,7000000000,278,8,5,6,2,0,0,0,0,0
251,5,65612218,2767338,178,9,31256695,37122861,1,بیمه و صندوق بازنشستگی به جز تامین اجتماعی,66,1869,51106317433079213,IRO1ASIA0001,آسیا,بیمه آسیا,162400000000000,4060,110,2.78,4060,4050,4040,4030,4020,2.2,4060,4060,110,2.78,4060,4030,0,0,0,0,0,3950,9709360,1107240,1666697,613701,181244,0,0,0,0,0,12:29:58,4060,3840,968,277549288340,68379556,40000000000,60,9,7,6,2,0,0,0,0,0
176,3,10104330,1208895,159,6,3527330,7785895,1,صندوق سرمایه‌گذاری قابل معامله,68,,37120336886630649,IRT1AGHH0001,بانکا,صندوق س صنایع آگاه4-بخشی,21310000000000,21310,544,2.62,21388,21385,21275,21274,21245,,20999,21388,622,3,21388,20890,21997,22301,0,0,0,20766,1007575,500,5000,5000,1487,228,169,0,0,0,12:29:02,21388,20144,967,241084530023,11313225,1000000000,2,1,1,1,1,1,2,0,0,0
331,1,35279026,150000,174,6,30549026,4880000,1,رایانه و فعالیت‌های وابسته به آن,72,154,40505767672724777,IRO1INFO0001,رانفور,خدمات‌انفورماتیک,324000000000000,5400,110,2.08,5420,5410,5380,5350,5330,35.1,5400,5420,130,2.46,5440,5310,5430,5440,5560,0,0,5290,22297,300000,62467,1250,43541,180241,951682,22254,0,0,12:29:56,5440,5140,965,191297780760,35429026,60000000000,1,1,2,1,6,3,28,4,0,0
45,1,11920389,139206,812,3,5062561,6997034,1,سرمایه‌گذاری‌ها,56,671,64973252728260903,IRO3KBIZ0001,وکبهمن,مدیریت سرمایه گذاری کوثربهمن,69400000000000,3470,100,2.97,3470,3450,3440,3430,3420,5.2,3340,3470,100,2.97,3470,3340,3480,3490,3530,3540,0,3370,1538537,1340,2000,1552,1499,2500,2896,2984,202063,0,12:29:53,3470,3270,961,41793360920,12059595,20000000000,18,1,1,1,1,1,3,4,8,0
251,3,50132118,6953228,153,4,47006291,10079055,1,حمل و نقل، انبارداری و ارتباطات,60,616,37389789764168256,IRO3TORZ0001,توریل,توکاریل,47664000000000,3310,70,2.16,3330,3300,3280,3270,3260,5.4,3310,3330,90,2.78,3330,3230,3470,3570,0,0,0,3240,4302173,4388,6000,53000,3000,30000,45440,0,0,0,12:24:48,3330,3150,942,189117917550,57085346,14400000000,21,1,2,2,1,1,2,0,0,0
194,4,14014032,2476772,104,5,10668742,5822062,1,صندوق سرمایه‌گذاری قابل معامله,68,,26581180478947817,IRTKPLAT0001,پلاتا,صندوق س. کالای کیمیا1,12069000000000,12069,-70,-0.58,12156,12152,12146,12136,12134,,12001,12156,17,0.14,12166,11987,12160,12165,12169,12174,12175,12139,30007,150000,79000,100000,100000,8393,25000,50000,3000,75000,13:03:55,13352,10926,941,213301969192,17674118,1000000000,2,2,2,1,1,1,1,1,1,1
278,7,3228439,1833138,143,9,3902357,1159220,1,صندوق سرمایه‌گذاری قابل معامله,68,,9089296888187061,IRTKTABA0001,تابش,صندوق س.کالای تابان تمدن,274110000000000,91370,-869,-0.94,91411,91410,91409,91406,91405,,91774,91419,-820,-0.89,91774,90610,91419,91444,91445,91508,91519,92239,933,10000,200,2731,37603,8493,80306,3,102,4438,13:03:35,101462,83016,940,466269592869,5103114,3000000000,7,1,1,2,3,1,1,1,1,1
303,1,66539648,679458,126,4,55664243,11554863,1,فعالیت‌های کمکی به نهادهای مالی واسط,67,329,31400839654504249,IRO3PGOP0001,تفارس,تامین سرمایه خلیج فارس,59760000000000,1992,21,1.07,1961,1953,1949,1948,1942,6.1,2030,1979,8,0.41,2030,1925,1979,1985,1989,1994,1998,1971,20542,20000,2800,100000,200000,100000,200000,50000,13000,870,12:29:58,2030,1912,927,133899762135,67219106,30000000000,1,1,1,1,1,1,1,1,1,1
84,2,1058616,36385003,75,1,1143619,36300000,1,صندوق سرمایه‌گذاری قابل معامله,68,,7171962866271439,IRTKZARI0001,زریران,صندوق س. کالای داریوش,24964000000000,12482,-126,-1,12485,12484,12483,12482,12480,,12583,12485,-123,-0.98,12583,12356,12539,12540,12550,12557,12577,12608,7779,13400,71594,5265,3000,5667,101850,9422,9443,63370,12:59:18,13868,11348,924,468037231368,37496910,2000000000,1,4,2,2,2,2,2,4,1,1
286,6,343192945,12000000,162,7,9317881,345875064,1,استخراج کانه‌های فلزی,13,241,35700344742885862,IRO1GOLG0001,کگل,معدنی و صنعتی گل گهر,1987270000000000,3034,88,2.99,3034,3033,3032,3031,3000,12.6,3034,3034,88,2.99,3034,3034,0,0,0,0,0,2946,558513971,3504360,110000,317013,6800,0,0,0,0,0,12:28:20,3034,2858,920,1077655395130,355192945,655000000000,919,5,2,1,2,0,0,0,0,0
