<نماد>,<وضعیت در سود بودن نماد>,<حجم>,<تعداد>,<ارزش>,<ارزش مفهومی>,<موقعیت های باز>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<حجم خرید>,<قیمت خرید>,<قیمت فروش>,<حجم فروش>,<اندازه قرارداد>,<قیمت اعمال>,<روز باقی مانده تا سررسید>,<نماد پایه>,<پایانی دارایی پایه>,<درصد تغییر>,<آخرین معامله دارایی پایه>,<درصد تغییر>,<تاریخ شروع>,<تاریخ پایان>,<حجم فروش>,<قیمت فروش>,<قیمت خرید>,<حجم خرید>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<موقعیت های باز>,<ارزش مفهومی>,<ارزش>,<تعداد>,<حجم>,<وضعیت در سود بودن نماد>,<نماد>
ضشنا6046,ITM,43614,516,103738411000.00,559030640000.00,246394,-2.76,2379,-3.57,2425,-1.70,2,2422,2479,295,1000,10260,9,شپنا,12880,2.55,12920,2.87,20260610,20260909,183,19,10,747,-64.29,10,-39.29,17,-3.45,119945,151739280000.00,206961000.00,69,11931,OTM,طشنا6046
ضشنا6049,OTM,10424,132,4314813000.00,127834000000.00,75306,4.17,414,-4.61,382,-11.98,1000,373,382,1,1000,13260,9,شپنا,12880,2.55,12920,2.87,20260712,20260909,2,1100,351,100,20.05,1000,0,833,0,12,0.00,0.00,0,0,ITM,طشنا6049
ضتاص9014,ITM,0,0,0.00,0.00,2578,0,11633,0,12800,10.03,0,0,0,0,1000,12000,86,تاصيكو,22180,0,22180,0,20260801,20261125,0,0,0,0,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طتاص9014
ضسپا7026,ITM,0,0,0.00,0.00,6332,0,256,0,259,1.17,2000,250,297,38,1000,450,51,خساپا,696,1.90,695,1.76,20260718,20261021,0,0,2,25,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طسپا7026
ضهرم7051,ITM,62,16,2295660000.00,3484080000.00,2285,-0.22,37027,-1.69,36450,-3.22,7,36300,37000,1,1000,22000,51,اهرم,58122,-1.30,57989,-1.53,20260725,20261021,25,250,57,1,0,100,0,100,0,407,0.00,0.00,0,0,OTM,طهرم7051
ضملت7038,ITM,795,4,581656000.00,1236225000.00,45614,0,732,-0.14,730,-0.41,198,720,732,88,1000,854,44,وبملت,1555,1.50,1542,0.65,20260718,20261014,1267,9,7,3,100,4,0,2,0,1864,0.00,0.00,0,0,OTM,طملت7038
ضجار6042,ITM,34706,95,15824271000.00,32085460000.00,1310723,-0.81,456,-7.88,482,-2.63,2010,461,475,2000,1000,541,9,وتجارت,1012,2.95,1012,2.95,20260609,20260909,8589,1,0,0,0,1,0,1,0,113492,0.00,0.00,0,0,OTM,طجار6042
ضجار8025,ITM,0,0,0.00,0.00,2699,0,500,0,500,0,145,550,699,49,1000,541,72,وتجارت,1012,2.95,1012,2.95,20260712,20261111,0,0,1,100,0,22,0,22,0,2,0.00,0.00,0,0,OTM,طجار8025
ضملي7071,ITM,12146,499,37105920318.00,335085287400.00,66210,-0.73,2228,4.55,2310,8.40,1,2295,2310,258,1371,20089,30,فملي,21150,2.97,21150,2.97,20260610,20260930,10,900,789,6,-0.58,860,-8.79,789,20.87,8014,72926574750.00,2721558390.00,61,2517,OTM,طملي7071
ضملي9036,ITM,3,1,35997000.00,63450000.00,1731,0,11999,20.05,11999,20.05,45,9500,11999,6,1000,13000,86,فملي,21150,2.97,21150,2.97,20260808,20261125,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طملي9036
