<نماد>,<وضعیت در سود بودن نماد>,<حجم>,<تعداد>,<ارزش>,<ارزش مفهومی>,<موقعیت های باز>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<حجم خرید>,<قیمت خرید>,<قیمت فروش>,<حجم فروش>,<اندازه قرارداد>,<قیمت اعمال>,<روز باقی مانده تا سررسید>,<نماد پایه>,<پایانی دارایی پایه>,<درصد تغییر>,<آخرین معامله دارایی پایه>,<درصد تغییر>,<تاریخ شروع>,<تاریخ پایان>,<حجم فروش>,<قیمت فروش>,<قیمت خرید>,<حجم خرید>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<موقعیت های باز>,<ارزش مفهومی>,<ارزش>,<تعداد>,<حجم>,<وضعیت در سود بودن نماد>,<نماد>
ضهرم8026,ITM,158,30,4019192000.00,9304462000.00,203,222.22,25438,-4.95,25100,-6.21,8,23030,26900,6,1000,38000,81,اهرم,58889,3.75,59032,4.00,20260822,20261118,20,1900,66,33,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهرم8026
ضهرم8027,ITM,1,1,21998000.00,58880000.00,140,0,21998,15.05,21998,15.05,1,19800,21500,18,1000,42000,81,اهرم,58889,3.75,59032,4.00,20260822,20261118,10,3600,957,10,-53.73,1800,-67.43,1267,100,6,176658000.00,3800000.00,2,3,OTM,طهرم8027
ضهرم8028,ITM,51,21,923659000.00,3003288000.00,1104,0.82,18111,12.53,17999,11.84,2,17001,18049,10,1000,46000,81,اهرم,58889,3.75,59032,4.00,20260822,20261118,5,5880,1200,1,-41.94,2000,0,3445,0,7,0.00,0.00,0,0,OTM,طهرم8028
ضهرم8029,ITM,185,24,2691725000.00,10894095000.00,1675,6.82,14550,8.26,14600,8.63,10,14103,15199,7,1000,50000,81,اهرم,58889,3.75,59032,4.00,20260822,20261118,10,6500,1550,5,0,5890,0,5890,0,1,0.00,0.00,0,0,OTM,طهرم8029
ضهرم8030,ITM,664,46,6894476000.00,39102296000.00,858,254.55,10383,-5.26,10399,-5.11,6,10201,10399,30,1000,56000,81,اهرم,58889,3.75,59032,4.00,20260822,20261118,10,8000,3100,3,23.87,3300,21.40,3234,1233.33,40,2237668000.00,122900000.00,11,38,OTM,طهرم8030
ضهرم8031,OTM,336,38,2671941000.00,19786368000.00,573,106.86,7952,5.41,8000,6.04,5,7093,0,0,1000,62000,81,اهرم,58889,3.75,59032,4.00,20260822,20261118,10,10000,5650,15,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طهرم8031
ضهرم8032,OTM,486,46,2347395000.00,22201153000.00,1063,39.32,4830,1.88,4800,1.24,1,4208,4999,1,1000,68000,81,اهرم,58889,3.75,59032,4.00,20260822,20261118,5,29850,8201,2,2.04,10000,16.33,11400,13.33,34,235480000.00,57000000.00,4,5,ITM,طهرم8032
ضهرم8033,OTM,524,45,1731577000.00,30857836000.00,1612,29.06,3305,7.83,3198,4.34,15,2910,3320,10,1000,74000,81,اهرم,58889,3.75,59032,4.00,20260822,20261118,0,0,12020,4,-21.88,11001,-21.88,11001,0,32,58857000.00,11001000.00,1,1,ITM,طهرم8033
ضهرم8034,OTM,3626,148,7030192000.00,213527888000.00,7159,49.46,1939,3.97,1945,4.29,45,1900,1945,100,1000,80000,81,اهرم,58889,3.75,59032,4.00,20260822,20261118,4,18001,17000,9,-18.50,18001,-13.20,19171,70,170,5123343000.00,1687007000.00,10,88,ITM,طهرم8034
ضهمن7027,ITM,10,2,16000000.00,28010000.00,542,0.18,1600,6.67,1600,6.67,10,1200,0,0,1000,1600,53,خبهمن,2801,2.71,2808,2.97,20260818,20261021,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن7027
ضهمن7028,ITM,0,0,0.00,0.00,0,0,1,0,1,0,3,399,0,0,1000,1700,53,خبهمن,2801,2.71,2808,2.97,20260818,20261021,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن7028
ضهمن7029,ITM,0,0,0.00,0.00,0,0,1,0,1,0,800,850,0,0,1000,1800,53,خبهمن,2801,2.71,2808,2.97,20260818,20261021,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن7029
ضهمن7030,ITM,0,0,0.00,0.00,0,0,1,0,1,0,2,50,0,0,1000,1900,53,خبهمن,2801,2.71,2808,2.97,20260818,20261021,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن7030
ضهمن7031,ITM,16,3,14440000.00,44816000.00,1180,0,902,50.33,900,50.0,11,850,979,14,1000,2000,53,خبهمن,2801,2.71,2808,2.97,20260818,20261021,2,250,11,111,-97.41,8,-97.41,8,-6.19,14295,2647812000.00,7574000.00,2,947,OTM,طهمن7031
ضهمن7032,ITM,5654,71,4425751000.00,15836854000.00,16476,17.48,783,-1.14,810,2.27,1,751,810,451,1000,2200,53,خبهمن,2801,2.71,2808,2.97,20260818,20261021,0,0,5,255,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن7032
ضهمن7033,ITM,0,0,0.00,0.00,451,0,229,0,201,-12.23,1000,426,0,0,1000,2400,53,خبهمن,2801,2.71,2808,2.97,20260818,20261021,1,600,6,266,0,1,0,1,0,1,0.00,0.00,0,0,OTM,طهمن7033
ضهمن7034,ITM,20,1,13000000.00,55880000.00,1296,1.57,650,29.48,650,29.48,20,300,645,10,1000,2600,53,خبهمن,2801,2.71,2808,2.97,20260818,20261021,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن7034
ضهمن7035,ITM,40,1,20000000.00,112040000.00,150,36.36,500,0,500,0,70,260,550,1000,1000,2800,53,خبهمن,2801,2.71,2808,2.97,20260818,20261021,0,0,11,111,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن7035
ضهمن7036,OTM,0,0,0.00,0.00,0,0,1,0,1,0,55,35,300,1000,1000,3000,53,خبهمن,2801,2.71,2808,2.97,20260818,20261021,0,0,11,111,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طهمن7036
ضهمن7037,OTM,184,2,27600000.00,515384000.00,184,0,150,14900,150,14900,700,130,150,816,1000,3250,53,خبهمن,2801,2.71,2808,2.97,20260818,20261021,0,0,11,111,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طهمن7037
ضهمن7038,OTM,520,2,52000000.00,1456520000.00,8542,6.48,100,13.64,100,13.64,1000,85,100,480,1000,3500,53,خبهمن,2801,2.71,2808,2.97,20260818,20261021,0,0,11,111,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طهمن7038
ضهمن7039,OTM,5000,6,259000000.00,14005000000.00,18016,19.98,52,13.04,54,17.39,99,22,56,1000,1000,3750,53,خبهمن,2801,2.71,2808,2.97,20260818,20261021,0,0,11,111,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طهمن7039
ضهمن9026,ITM,0,0,0.00,0.00,0,0,1,0,1,0,92,111,0,0,1000,1600,109,خبهمن,2801,2.71,2808,2.97,20260822,20261216,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن9026
ضهمن9027,ITM,0,0,0.00,0.00,0,0,1,0,1,0,100,110,0,0,1000,1700,109,خبهمن,2801,2.71,2808,2.97,20260822,20261216,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن9027
ضهمن9028,ITM,0,0,0.00,0.00,0,0,1,0,1,0,100,1,0,0,1000,1800,109,خبهمن,2801,2.71,2808,2.97,20260822,20261216,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن9028
ضهمن9029,ITM,0,0,0.00,0.00,0,0,1,0,1,0,6,333,0,0,1000,1900,109,خبهمن,2801,2.71,2808,2.97,20260822,20261216,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن9029
ضهمن9030,ITM,0,0,0.00,0.00,0,0,1,0,1,0,9,222,0,0,1000,2000,109,خبهمن,2801,2.71,2808,2.97,20260822,20261216,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن9030
ضهمن9031,ITM,0,0,0.00,0.00,0,0,1,0,1,0,9,111,0,0,1000,2200,109,خبهمن,2801,2.71,2808,2.97,20260822,20261216,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن9031
ضهمن9032,ITM,0,0,0.00,0.00,0,0,1,0,1,0,100,100,0,0,1000,2400,109,خبهمن,2801,2.71,2808,2.97,20260822,20261216,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن9032
ضهمن9033,ITM,0,0,0.00,0.00,0,0,1,0,1,0,111,11,0,0,1000,2600,109,خبهمن,2801,2.71,2808,2.97,20260822,20261216,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن9033
ضهمن9034,ITM,0,0,0.00,0.00,0,0,1,0,1,0,100,1,0,0,1000,2800,109,خبهمن,2801,2.71,2808,2.97,20260822,20261216,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طهمن9034
ضهمن9035,OTM,0,0,0.00,0.00,0,0,1,0,1,0,100,1,0,0,1000,3000,109,خبهمن,2801,2.71,2808,2.97,20260822,20261216,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طهمن9035
ضهمن9036,OTM,0,0,0.00,0.00,0,0,1,0,1,0,111,11,0,0,1000,3250,109,خبهمن,2801,2.71,2808,2.97,20260822,20261216,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طهمن9036
ضهمن9037,OTM,0,0,0.00,0.00,0,0,1,0,1,0,33,66,0,0,1000,3500,109,خبهمن,2801,2.71,2808,2.97,20260822,20261216,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طهمن9037
ضهمن9038,OTM,0,0,0.00,0.00,0,0,1,0,1,0,100,1,0,0,1000,3750,109,خبهمن,2801,2.71,2808,2.97,20260822,20261216,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طهمن9038
ضملت6015,ITM,11802,102,9944197000.00,18080664000.00,118000,-4.25,843,9.20,854,10.62,965,851,856,22,1000,704,11,وبملت,1532,2.96,1532,2.96,20260613,20260909,8490,1,0,0,0,1,0,1,0,178043,383000000.00,250000.00,2,250,OTM,طملت6015
ضملت6016,ITM,4479,45,3568874000.00,6861828000.00,105214,-2.72,797,8.29,813,10.46,1000,771,816,500,1000,754,11,وبملت,1532,2.96,1532,2.96,20260613,20260909,1000,3,0,0,100,2,100,2,0,22865,383000000.00,444000.00,2,250,OTM,طملت6016
ضملت6017,ITM,2976,26,2080407000.00,4559232000.00,80401,-0.26,699,11.66,700,11.82,127,700,705,4,1000,854,11,وبملت,1532,2.96,1532,2.96,20260613,20260909,371,4,0,0,300,4,300,4,-0.62,22281,211416000.00,552000.00,4,138,OTM,طملت6017
ضملت6018,ITM,21480,106,12893125000.00,32907360000.00,208034,-3.58,600,14.94,605,15.90,20,595,607,104,1000,954,11,وبملت,1532,2.96,1532,2.96,20260613,20260909,664,1,0,0,0,1,0,1,-1.60,286947,46408876000.00,35294000.00,54,30294,OTM,طملت6018
ضملت6019,ITM,278763,866,139086693000.00,427064916000.00,2747038,-3.45,499,20.53,511,23.43,5754,509,512,230,1000,1054,11,وبملت,1532,2.96,1532,2.96,20260613,20260909,16211,2,1,1485,100,2,0,1,-4.73,720508,89965168000.00,70613000.00,156,58724,OTM,طملت6019
ضملت6020,ITM,612448,1678,241403342000.00,938270336000.00,4133612,-3.83,394,22.36,410,27.33,1184,405,411,1402,1000,1154,11,وبملت,1532,2.96,1532,2.96,20260613,20260909,30535,2,1,42375,-50,1,-50,1,-14.72,1181001,680100760000.00,508084000.00,922,443930,OTM,طملت6020
ضملت6021,ITM,1990921,5003,589233241000.00,3050058800000.00,7785197,-3.93,296,28.14,318,37.66,1397,317,319,5217,1000,1254,11,وبملت,1532,2.96,1532,2.96,20260613,20260909,7707,3,2,161093,-60,2,-40,3,-5.77,3153364,1793035948000.00,3325454000.00,2721,1170841,OTM,طملت6021
ضملت6022,ITM,3421310,8173,708071620000.00,5241446920000.00,7832290,-5.48,207,39.86,232,56.76,2000,225,231,870,1000,1354,11,وبملت,1532,2.96,1532,2.96,20260613,20260909,30829,7,6,1066,-64.71,6,-52.94,8,11.12,1833646,2572823948000.00,14174860000.00,3710,1679821,OTM,طملت6022
ضملت6023,ITM,3915170,9705,526093034000.00,5996508440000.00,6236786,2.01,134,63.41,151,84.15,442,150,154,863,1000,1454,11,وبملت,1532,2.96,1532,2.96,20260613,20260909,4800,26,24,3150,-53.70,25,-44.44,30,67.56,1507230,2670012496000.00,51913903000.00,4086,1743129,OTM,طملت6023
ضملت6024,OTM,3963082,9229,285765207000.00,6069787064000.00,5666223,17.40,72,80.0,85,112.50,100,83,85,1328,1000,1554,11,وبملت,1532,2.96,1532,2.96,20260613,20260909,100,58,55,200,-41.84,57,-36.73,62,702.84,85711,147421296000.00,5938982000.00,369,96228,ITM,طملت6024
ضملت6025,OTM,2996175,6621,130882189000.00,4587074568000.00,2793668,55.00,44,144.44,57,216.67,2000,54,57,999,1000,1654,11,وبملت,1532,2.96,1532,2.96,20260613,20260909,90,130,115,1,-9.77,120,-16.54,111,91.14,4593,11378164000.00,824878000.00,74,7427,ITM,طملت6025
ضملت6026,OTM,1541949,3246,35347902000.00,2362265868000.00,1573531,38.84,23,228.57,25,257.14,418,23,28,21618,1000,1754,11,وبملت,1532,2.96,1532,2.96,20260613,20260909,500,280,170,500,19900,200,19900,200,0,1,1532000.00,200000.00,1,1,ITM,طملت6026
ضملت6027,OTM,2411243,5111,16924024000.00,3692492276000.00,3363987,68.89,7,133.33,8,166.67,58,8,9,37176,1000,1854,11,وبملت,1532,2.96,1532,2.96,20260613,20260909,500,400,261,200,0,440,0,440,0,1,0.00,0.00,0,0,ITM,طملت6027
ضملت7036,ITM,5909,73,5151241000.00,9052588000.00,43902,0.98,872,8.05,880,9.05,100,880,931,300,1000,704,46,وبملت,1532,2.96,1532,2.96,20260718,20261014,1000,5,3,3000,150,5,100,4,17.79,19343,13345252000.00,31569000.00,36,8711,OTM,طملت7036
ضملت7037,ITM,315,14,255939000.00,436620000.00,7539,-1.09,813,8.69,830,10.96,100,779,830,749,1000,754,46,وبملت,1532,2.96,1532,2.96,20260718,20261014,0,0,1,10100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طملت7037
ضملت7038,ITM,1671,25,1225621000.00,2422092000.00,45614,0.38,733,9.90,732,9.75,210,732,765,1000,1000,854,46,وبملت,1532,2.96,1532,2.96,20260718,20261014,167,9,2,3000,0,4,-50,2,0.59,1864,16852000.00,24000.00,3,11,OTM,طملت7038
ضملت7039,ITM,4220,33,2717488000.00,6465040000.00,77455,1.40,644,11.23,641,10.71,1,641,690,41,1000,954,46,وبملت,1532,2.96,1532,2.96,20260718,20261014,1000,7,3,1000,0,1,0,1,0,867,0.00,0.00,0,0,OTM,طملت7039
ضملت7040,ITM,18595,155,10176961000.00,28487540000.00,264509,1.43,547,11.86,565,15.54,100,559,575,15,1000,1054,46,وبملت,1532,2.96,1532,2.96,20260718,20261014,225,9,5,1000,100,10,120,11,0,12825,1075464000.00,7420000.00,16,704,OTM,طملت7040
ضملت7041,ITM,8214,74,3840051000.00,12583848000.00,199102,-0.58,468,17.29,466,16.79,1000,467,481,10,1000,1154,46,وبملت,1532,2.96,1532,2.96,20260718,20261014,495,17,10,400,16.67,14,16.67,14,17.12,23263,8298844000.00,73226000.00,17,5417,OTM,طملت7041
ضملت7042,ITM,101016,599,37149369000.00,153224512000.00,745690,-0.23,368,14.64,381,18.69,158,380,382,100,1000,1254,46,وبملت,1532,2.96,1532,2.96,20260718,20261014,0,0,24,1,-22.86,27,-22.86,27,119.74,38151,56478712000.00,1005827000.00,145,36866,OTM,طملت7042
ضملت7043,ITM,76563,342,21903729000.00,117294516000.00,398646,-3.83,286,18.18,298,23.14,361,300,300,110,1000,1354,46,وبملت,1532,2.96,1532,2.96,20260718,20261014,500,48,46,353,-20,48,-23.33,46,76.77,11216,10543224000.00,315264000.00,41,6882,OTM,طملت7043
ضملت7044,ITM,647523,2014,142176614000.00,992005236000.00,942879,79.75,220,22.22,233,29.44,10,232,235,1290,1000,1454,46,وبملت,1532,2.96,1532,2.96,20260718,20261014,1003,98,75,511,-27.36,77,-20.75,84,52.18,37877,22966212000.00,1257673000.00,98,14991,OTM,طملت7044
ضملت7045,OTM,280262,883,47082125000.00,429346064000.00,487641,57.07,168,27.27,176,33.33,40,176,180,1000,1000,1554,46,وبملت,1532,2.96,1532,2.96,20260718,20261014,0,0,61,1000,-28.40,121,-21.30,133,105.29,12379,11335268000.00,986987000.00,78,7399,ITM,طملت7045
ضملت7046,OTM,111483,531,13803256000.00,170791956000.00,421295,13.36,124,47.62,134,59.52,100,122,137,125,1000,1654,46,وبملت,1532,2.96,1532,2.96,20260718,20261014,0,0,70,170,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طملت7046
ضملت7047,OTM,57325,210,5122616000.00,87608952000.00,252179,6.72,89,64.81,93,72.22,648,93,94,324,1000,1754,46,وبملت,1532,2.96,1532,2.96,20260718,20261014,1000,349,1,100,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طملت7047
ضملت7048,OTM,155967,370,9498583000.00,238941444000.00,408599,15.58,61,69.44,73,102.78,30,69,74,6000,1000,1854,46,وبملت,1532,2.96,1532,2.96,20260718,20261014,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طملت7048
